Product1,Product2
81,51
61,16
41,0
21,0
4,13
0,0
0,0
109,40
90,7
69,0
49,0
31,12
13,0
0,0
0,10
101,0
80,0
55,9
37,0
16,0
0,11
0,0
0,0
113,40
94,11
75,0
55,0
34,4
17,0
1,0
0,12
0,0
116,0
95,8
76,0
55,0
35,14
20,0
3,0
0,8
0,0
115,0
98,11
79,0
61,0
40,11
20,0
3,0
0,10
0,0
110,0
88,12
66,0
45,0
25,7
3,0
0,0
0,7
105,0
88,0
68,8
51,0
31,0
11,8
0,0
0,0
0,9
119,0
101,0
80,11
61,0
41,0
22,10
4,0
0,0
0,10
109,0
88,0
68,14
49,0
28,0
10,6
0,0
0,0
101,40
83,3
64,0
44,0
25,10
5,0
0,0
0,11
106,0
86,0
67,10
50,0
32,0
12,9
0,0
0,0
100,40
81,10
63,0
38,0
17,11
0,0
0,0
0,9
112,0
92,0
71,11
47,0
27,0
11,9
0,0
0,0
103,40
82,10
61,0
43,0
23,6
1,0
0,0
0,11
107,0
90,0
71,7
49,0
32,0
13,10
0,0
0,0
101,40
79,14
57,0
39,0
21,8
0,0
0,0
0,12
111,0
93,0
77,13
59,0
37,0
19,9
0,0
0,0
0,11
113,0
94,0
78,13
58,0
38,0
20,7
3,0
0,0
0,12
112,0
93,0
71,9
53,0
29,0
12,12
0,0
0,0
0,10
121,0
102,0
85,6
68,0
46,0
24,10
8,0
0,0
0,10
104,0
84,0
64,6
41,0
